"Series","Name","Rate Card Name","Rate Card Filtered Name","Operating System","Rate Card Priority","Tier","Cores","Memory","Disk Count","OS Disk Size GB","Cache Disk Size GB","Cost Per Hour","Cost Per Month"
"Av2 Series","Standard_A2m_v2","A2m_v2_Low_Priority","A2m v2","Windows","Low Priority","Low Priority","2","16","4","1023","20","0.072","53.280"
"Edsv4 Series","Standard_E80ids_v4","E80ids_v4_Low_Priority","E80ids v4","Windows","Low Priority","Low Priority","80","504","32","1023","4260","3.776","2794.240"
"Eav4/Easv4 Series","Standard_E8-4as_v4","E8-4as_v4_Low_Priority","E8-4as_v4","Windows","Low Priority","Low Priority","8","64","16","1023","128","0.349","258.260"
"MS Series","Standard_M128s","M128s_Low_Priority","M128s","Linux","Low Priority","Low Priority","128","2000","64","1023","4000","2.668","1974.320"
"Esv4 Series","Standard_E32-8s_v4","E32-8s_v4_Low_Priority","E32-8s v4","Linux","Low Priority","Low Priority","32","256","32","1023","0","0.403","298.220"
"Ev4 Series","Standard_E8_v4","E8_v4","E8 v4","Linux","Standard","Standard","8","64","16","1023","0","0.504","372.960"
"BS Series","Standard_B1ls","B1ls","B1ls","Linux","Standard","Standard","1","0.5","2","1023","4","0.0052","3.8480"
"Ddv4 Series","Standard_D4d_v4","D4d_v4_Low_Priority","D4d v4","Windows","Low Priority","Low Priority","4","16","8","1023","150","0.164","121.360"
"Edv4 Series","Standard_E32d_v4","E32d_v4_Low_Priority","E32d v4","Linux","Low Priority","Low Priority","32","256","32","1023","1200","0.461","341.140"
"Esv4 Series","Standard_E32-16s_v4","E32-16s_v4","E32-16s v4","Windows","Standard","Standard","32","256","32","1023","0","3.488","2581.120"
"A Series","Standard_A3","A3_Low_Priority","A3","Windows","Low Priority","Low Priority","4","7","8","1023","285","0.1184","87.6160"
"A Series","Basic_A3","A3_Low_Priority","A3","Windows","Low Priority","Low Priority","4","7","8","1023","120","0.1184","87.6160"
"Edsv4 Series","Standard_E4ds_v4","E4ds_v4","E4ds v4","Linux","Standard","Standard","4","32","8","1023","150","0.288","213.120"
"Esv4 Series","Standard_E16-4s_v4","E16-4s_v4","E16-4s v4","Linux","Standard","Standard","16","128","32","1023","0","1.008","745.920"
"Dsv4 Series","Standard_D48s_v4","D48s_v4_Low_Priority","D48s v4","Linux","Low Priority","Low Priority","48","192","32","1023","0","0.461","341.140"
"Edsv4 Series","Standard_E16ds_v4","E16ds_v4_Low_Priority","E16ds v4","Linux","Low Priority","Low Priority","16","128","32","1023","600","0.23","170.20"
"Av2 Series","Standard_A1_v2","A1_v2_Low_Priority","A1 v2","Windows","Low Priority","Low Priority","1","2","2","1023","10","0.026","19.240"
"Ev4 Series","Standard_E32_v4","E32_v4_Low_Priority","E32 v4","Linux","Low Priority","Low Priority","32","256","32","1023","0","0.403","298.220"
"Ddv4 Series","Standard_D8d_v4","D8d_v4","D8d v4","Windows","Standard","Standard","8","32","16","1023","300","0.82","606.80"
"Esv4 Series","Standard_E16s_v4","E16s_v4","E16s v4","Linux","Standard","Standard","16","128","32","1023","0","1.008","745.920"
"Ddv4 Series","Standard_D48d_v4","D48d_v4","D48d v4","Linux","Standard","Standard","48","192","32","1023","1800","2.712","2006.880"
"A Series","Standard_A0","A0","A0","Windows","Standard","Standard","1","0.75","1","1023","20","0.02","14.80"
"NCSv3 Series","Standard_NC24s_v3","NC24s_v3","NC24s v3","Windows","Standard","Standard","24","448","32","1023","1344","13.3632","9888.7680"
"MSv2 Series","Standard_M208ms_v2","M208ms_v2_Low_Priority","M208ms v2","Windows","Low Priority","Low Priority","208","5700","64","1023","4096","21.675","16039.500"
"Edv4 Series","Standard_E20d_v4","E20d_v4","E20d v4","Linux","Standard","Standard","20","160","32","1023","750","1.44","1065.60"
"Edsv4 Series","Standard_E16ds_v4","E16ds_v4","E16ds v4","Windows","Standard","Standard","16","128","32","1023","600","1.888","1397.120"
"NV Series","Standard_NV12","NV12_Low_Priority","NV12","Windows","Low Priority","Low Priority","12","112","48","1023","680","1.1288","835.3120"
"NV Series","Standard_NV12_Promo","NV12_Low_Priority","NV12","Windows","Low Priority","Low Priority","12","112","48","1023","680","1.1288","835.3120"
"NV Series","Standard_NV12s_v2","NV12_Low_Priority","NV12","Windows","Low Priority","Low Priority","12","224","24","1023","672","1.1288","835.3120"
"NV Series","Standard_NV12s_v3","NV12_Low_Priority","NV12","Windows","Low Priority","Low Priority","12","112","12","1023","336","1.1288","835.3120"
"MS Series","Standard_M64ls","M64ls","M64ls","Linux","Standard","Standard","64","512","64","1023","2000","5.415","4007.100"
"Edsv4 Series","Standard_E8-4ds_v4","E8-4ds_v4","E8-4ds v4","Linux","Standard","Standard","8","64","16","1023","300","0.576","426.240"
"Edsv4 Series","Standard_E64-16ds_v4","E64-16ds_v4","E64-16ds v4","Linux","Standard","Standard","64","504","32","1023","2400","4.608","3409.920"
"A Series","Standard_A6","A6_Low_Priority","A6","Windows","Low Priority","Low Priority","4","28","8","1023","285","0.24","177.60"
"FSv2 Series","Standard_F64s_v2","F64s_v2","F64s v2","Linux","Standard","Standard","64","128","32","1023","512","2.706","2002.440"
"Edv4 Series","Standard_E8d_v4","E8d_v4_Low_Priority","E8d v4","Windows","Low Priority","Low Priority","8","64","16","1023","300","0.378","279.720"
"Esv4 Series","Standard_E4s_v4","E4s_v4","E4s v4","Linux","Standard","Standard","4","32","8","1023","0","0.252","186.480"
"Esv4 Series","Standard_E2s_v4","E2s_v4","E2s v4","Windows","Standard","Standard","2","16","4","1023","0","0.218","161.320"
"Ev4 Series","Standard_E64_v4","E64_v4_Low_Priority","E64 v4","Linux","Low Priority","Low Priority","64","504","32","1023","0","0.806","596.440"
"A Series","Standard_A1_v2","A1_Low_Priority","A1","Windows","Low Priority","Low Priority","1","2","2","1023","10","0.014","10.360"
"A Series","Standard_A1","A1_Low_Priority","A1","Windows","Low Priority","Low Priority","1","1.75","2","1023","70","0.014","10.360"
"A Series","Basic_A1","A1_Low_Priority","A1","Windows","Low Priority","Low Priority","1","1.75","2","1023","40","0.014","10.360"
"NV Promo Series","Standard_NV6","NV6","NV6","Linux","Standard","Standard","6","56","24","1023","380","0.721","533.540"
"NV Promo Series","Standard_NV6_Promo","NV6","NV6","Linux","Standard","Standard","6","56","24","1023","380","0.721","533.540"
"NV Promo Series","Standard_NV6s_v2","NV6","NV6","Linux","Standard","Standard","6","112","12","1023","336","0.721","533.540"
"NV Series","Standard_NV6","NV6_Low_Priority","NV6","Windows","Low Priority","Low Priority","6","56","24","1023","380","0.564","417.360"
"NV Series","Standard_NV6_Promo","NV6_Low_Priority","NV6","Windows","Low Priority","Low Priority","6","56","24","1023","380","0.564","417.360"
"NV Series","Standard_NV6s_v2","NV6_Low_Priority","NV6","Windows","Low Priority","Low Priority","6","112","12","1023","336","0.564","417.360"
"NCasv3 T4 Series","Standard_NC64as_T4_v3","NC64as_T4_v3","NC64as T4 v3","Linux","Standard","Standard","64","448","32","1023","2816","4.352","3220.480"
"MSv2 Series","Standard_M416ms_v2","M416ms_v2_Low_Priority","M416ms v2","Windows","Low Priority","Low Priority","416","11400","64","1023","8192","47.314","35012.360"
"MSv2 Series","Standard_M416ms_v2","M416ms_v2_Low_Priority","M416ms v2","Linux","Low Priority","Low Priority","416","11400","64","1023","8192","19.83","14674.20"
"NVSv3 Series","Standard_NV12s_v3","NV12s_v3_Low_Priority","NV12s v3","Windows","Low Priority","Low Priority","12","112","12","1023","336","0.677","500.980"
"Edv4 Series","Standard_E4d_v4","E4d_v4","E4d v4","Linux","Standard","Standard","4","32","8","1023","150","0.288","213.120"
"Eav4/Easv4 Series","Standard_E8-2as_v4","E8-2as_v4","E8-2as_v4","Linux","Standard","Standard","8","64","16","1023","128","0.504","372.960"
"Eav4/Easv4 Series","Standard_E8-2as_v4","E8-2as_v4_Low_Priority","E8-2as_v4","Linux","Low Priority","Low Priority","8","64","16","1023","128","0.101","74.740"
"A Series","Standard_A0","A0_Low_Priority","A0","Linux","Low Priority","Low Priority","1","0.75","1","1023","20","0.004","2.960"
"A Series","Basic_A0","A0_Low_Priority","A0","Linux","Low Priority","Low Priority","1","0.75","1","1023","20","0.004","2.960"
"Dsv4 Series","Standard_D32s_v4","D32s_v4_Low_Priority","D32s v4","Windows","Low Priority","Low Priority","32","128","32","1023","0","1.203","890.220"
"Edsv4 Series","Standard_E32-8ds_v4","E32-8ds_v4_Low_Priority","E32-8ds v4","Linux","Low Priority","Low Priority","32","256","32","1023","1200","0.461","341.140"
"Edsv4 Series","Standard_E64-16ds_v4","E64-16ds_v4_Low_Priority","E64-16ds v4","Windows","Low Priority","Low Priority","64","504","32","1023","2400","3.021","2235.540"
"Edsv4 Series","Standard_E4ds_v4","E4ds_v4","E4ds v4","Windows","Standard","Standard","4","32","8","1023","150","0.472","349.280"
"NVSv3 Series","Standard_NV12s_v3","NV12s_v3_Low_Priority","NV12s v3","Linux","Low Priority","Low Priority","12","112","12","1023","336","0.228","168.720"
"NCasv3 T4 Series","Standard_NC8as_T4_v3","NC8as_T4_v3","NC8as T4 v3","Windows","Standard","Standard","8","56","16","1023","352","1.12","828.80"
"NC Series","Standard_NC6s_v3","NC6_Low_Priority","NC6","Linux","Low Priority","Low Priority","6","112","12","1023","336","0.18","133.20"
"NC Series","Standard_NC6","NC6_Low_Priority","NC6","Linux","Low Priority","Low Priority","6","56","24","1023","380","0.18","133.20"
"NC Series","Standard_NC6_Promo","NC6_Low_Priority","NC6","Linux","Low Priority","Low Priority","6","56","24","1023","380","0.18","133.20"
"NC Series","Standard_NC64as_T4_v3","NC6_Low_Priority","NC6","Linux","Low Priority","Low Priority","64","448","32","1023","2816","0.18","133.20"
"A Series","Basic_A0","A0","A0","Windows","Basic","Basic","1","0.75","1","1023","20","0.018","13.320"
"BS Series","Standard_B1ms","B1ms","B1ms","Linux","Standard","Standard","1","2","2","1023","4","0.0208","15.3920"
"Eav4/Easv4 Series","Standard_E64-32as_v4","E64-32as_v4_Low_Priority","E64-32as_v4","Linux","Low Priority","Low Priority","64","512","32","1023","864","0.806","596.440"
"NV Series","Standard_NV6","NV6","NV6","Windows","Standard","Standard","6","56","24","1023","380","1.411","1044.140"
"NV Series","Standard_NV6_Promo","NV6","NV6","Windows","Standard","Standard","6","56","24","1023","380","1.411","1044.140"
"NV Series","Standard_NV6s_v2","NV6","NV6","Windows","Standard","Standard","6","112","12","1023","336","1.411","1044.140"
"FSv2 Series","Standard_F2s_v2","F2s_v2_Low_Priority","F2s v2","Windows","Low Priority","Low Priority","2","4","4","1023","16","0.065","48.100"
"Eav4/Easv4 Series","Standard_E96-48as_v4","E96-48as_v4","E96-48as_v4","Linux","Standard","Standard","96","672","32","1023","1344","6.048","4475.520"
"Edv4 Series","Standard_E48d_v4","E48d_v4_Low_Priority","E48d v4","Linux","Low Priority","Low Priority","48","384","32","1023","1800","0.691","511.340"
"FSv2 Series","Standard_F16s_v2","F16s_v2_Low_Priority","F16s v2","Windows","Low Priority","Low Priority","16","32","32","1023","128","0.521","385.540"
"Dv4 Series","Standard_D64_v4","D64_v4","D64 v4","Linux","Standard","Standard","64","256","32","1023","0","3.072","2273.280"
"Eav4/Easv4 Series","Standard_E16-4as_v4","E16-4as_v4","E16-4as_v4","Windows","Standard","Standard","16","128","32","1023","256","1.744","1290.560"
"Dsv4 Series","Standard_D8s_v4","D8s_v4_Low_Priority","D8s v4","Windows","Low Priority","Low Priority","8","32","16","1023","0","0.301","222.740"
"Eav4/Easv4 Series","Standard_E96-24as_v4","E96-24as_v4","E96-24as_v4","Windows","Standard","Standard","96","672","32","1023","1344","10.464","7743.360"
"A Series","Standard_A4m_v2","A4_Low_Priority","A4","Windows","Low Priority","Low Priority","4","32","8","1023","40","0.288","213.120"
"A Series","Standard_A4_v2","A4_Low_Priority","A4","Windows","Low Priority","Low Priority","4","8","8","1023","40","0.288","213.120"
"A Series","Standard_A4","A4_Low_Priority","A4","Windows","Low Priority","Low Priority","8","14","16","1023","605","0.288","213.120"
"A Series","Basic_A4","A4_Low_Priority","A4","Windows","Low Priority","Low Priority","8","14","16","1023","240","0.288","213.120"
"Dv4 Series","Standard_D48_v4","D48_v4","D48 v4","Linux","Standard","Standard","48","192","32","1023","0","2.304","1704.960"
"Eav4/Easv4 Series","Standard_E16-4as_v4","E16-4as_v4","E16-4as_v4","Linux","Standard","Standard","16","128","32","1023","256","1.008","745.920"
"A Series","Standard_A7","A7_Low_Priority","A7","Linux","Low Priority","Low Priority","8","56","16","1023","605","0.176","130.240"
"Ddsv4 Series","Standard_D48ds_v4","D48ds_v4_Low_Priority","D48ds v4","Windows","Low Priority","Low Priority","48","192","32","1023","1800","1.968","1456.320"
"Ddv4 Series","Standard_D48d_v4","D48d_v4_Low_Priority","D48d v4","Linux","Low Priority","Low Priority","48","192","32","1023","1800","0.542","401.080"
"FSv2 Series","Standard_F16s_v2","F16s_v2","F16s v2","Windows","Standard","Standard","16","32","32","1023","128","1.302","963.480"
"NVSv3 Series","Standard_NV12s_v3","NV12s_v3","NV12s v3","Windows","Standard","Standard","12","112","12","1023","336","1.692","1252.080"
"FSv2 Series","Standard_F8s_v2","F8s_v2_Low_Priority","F8s v2","Linux","Low Priority","Low Priority","8","16","16","1023","64","0.0677","50.0980"
"Edv4 Series","Standard_E16d_v4","E16d_v4","E16d v4","Linux","Standard","Standard","16","128","32","1023","600","1.152","852.480"
"Ddv4 Series","Standard_D4d_v4","D4d_v4_Low_Priority","D4d v4","Linux","Low Priority","Low Priority","4","16","8","1023","150","0.0452","33.4480"
"Dv4 Series","Standard_D2_v4","D2_v4_Low_Priority","D2 v4","Windows","Low Priority","Low Priority","2","8","4","1023","0","0.0752","55.6480"
"Edsv4 Series","Standard_E8ds_v4","E8ds_v4","E8ds v4","Linux","Standard","Standard","8","64","16","1023","300","0.576","426.240"
"Dsv4 Series","Standard_D4s_v4","D4s_v4_Low_Priority","D4s v4","Windows","Low Priority","Low Priority","4","16","8","1023","0","0.15","111.00"
"Esv4 Series","Standard_E80is_v4","E80is_v4_Low_Priority","E80is v4","Linux","Low Priority","Low Priority","80","504","32","1023","0","1.008","745.920"
"FSv2 Series","Standard_F48s_v2","F48s_v2_Low_Priority","F48s v2","Linux","Low Priority","Low Priority","48","96","32","1023","384","0.406","300.440"
"A Series","Standard_A0","A0_Low_Priority","A0","Windows","Low Priority","Low Priority","1","0.75","1","1023","20","0.0072","5.3280"
"A Series","Basic_A0","A0_Low_Priority","A0","Windows","Low Priority","Low Priority","1","0.75","1","1023","20","0.0072","5.3280"
"Dv4 Series","Standard_D16_v4","D16_v4","D16 v4","Windows","Standard","Standard","16","64","32","1023","0","1.504","1112.960"
"LS Series","Standard_L32s_v2","L32s_Low_Priority","L32s","Windows","Low Priority","Low Priority","32","256","32","1023","7152","1.746","1292.040"
"LS Series","Standard_L32s","L32s_Low_Priority","L32s","Windows","Low Priority","Low Priority","32","256","64","1023","5630","1.746","1292.040"
"LS Series","Standard_L8s_v2","L8s","L8s","Linux","Standard","Standard","8","64","16","1023","1788","0.686","507.640"
"LS Series","Standard_L8s","L8s","L8s","Linux","Standard","Standard","8","64","32","1023","1388","0.686","507.640"
"BS Series","Standard_B16ms","B16ms","B16ms","Windows","Standard","Standard","16","64","32","1023","128","0.73","540.20"
"FSv2 Series","Standard_F32s_v2","F32s_v2","F32s v2","Windows","Standard","Standard","32","64","32","1023","256","2.604","1926.960"
"Dv4 Series","Standard_D32_v4","D32_v4","D32 v4","Windows","Standard","Standard","32","128","32","1023","0","3.008","2225.920"
"Dsv4 Series","Standard_D2s_v4","D2s_v4","D2s v4","Linux","Standard","Standard","2","8","4","1023","0","0.096","71.040"
"Av2 Series","Standard_A4_v2","A4_v2_Low_Priority","A4 v2","Linux","Low Priority","Low Priority","4","8","8","1023","40","0.038","28.120"
"LSv2 Series","Standard_L8s_v2","L8s_v2","L8s v2","Linux","Standard","Standard","8","64","16","1023","1788","0.624","461.760"
"Dsv4 Series","Standard_D2s_v4","D2s_v4_Low_Priority","D2s v4","Windows","Low Priority","Low Priority","2","8","4","1023","0","0.0752","55.6480"
"MS Series","Standard_M64s","M64s_Low_Priority","M64s","Windows","Low Priority","Low Priority","64","1000","64","1023","2000","3.845","2845.300"
"Dv4 Series","Standard_D4_v4","D4_v4","D4 v4","Windows","Standard","Standard","4","16","8","1023","0","0.376","278.240"
"NC Series","Standard_NC6s_v3","NC6_Low_Priority","NC6","Windows","Low Priority","Low Priority","6","112","12","1023","336","0.434","321.160"
"NC Series","Standard_NC6","NC6_Low_Priority","NC6","Windows","Low Priority","Low Priority","6","56","24","1023","380","0.434","321.160"
"NC Series","Standard_NC6_Promo","NC6_Low_Priority","NC6","Windows","Low Priority","Low Priority","6","56","24","1023","380","0.434","321.160"
"NC Series","Standard_NC64as_T4_v3","NC6_Low_Priority","NC6","Windows","Low Priority","Low Priority","64","448","32","1023","2816","0.434","321.160"
"Av2 Series","Standard_A2_v2","A2_v2_Low_Priority","A2 v2","Linux","Low Priority","Low Priority","2","4","4","1023","20","0.018","13.320"
"Ddsv4 Series","Standard_D32ds_v4","D32ds_v4","D32ds v4","Linux","Standard","Standard","32","128","32","1023","1200","1.808","1337.920"
"NC Promo Series","Standard_NC12s_v3","NC12","NC12","Linux","Standard","Standard","12","224","24","1023","672","0.792","586.080"
"NC Promo Series","Standard_NC12","NC12","NC12","Linux","Standard","Standard","12","112","48","1023","680","0.792","586.080"
"NC Promo Series","Standard_NC12_Promo","NC12","NC12","Linux","Standard","Standard","12","112","48","1023","680","0.792","586.080"
"Esv4 Series","Standard_E64-32s_v4","E64-32s_v4","E64-32s v4","Windows","Standard","Standard","64","504","32","1023","0","6.976","5162.240"
"FSv2 Series","Standard_F4s_v2","F4s_v2_Low_Priority","F4s v2","Windows","Low Priority","Low Priority","4","8","8","1023","32","0.13","96.20"
"Eav4/Easv4 Series","Standard_E64-16as_v4","E64-16as_v4","E64-16as_v4","Windows","Standard","Standard","64","512","32","1023","864","6.976","5162.240"
"Dv4 Series","Standard_D64_v4","D64_v4_Low_Priority","D64 v4","Linux","Low Priority","Low Priority","64","256","32","1023","0","0.614","454.360"
"Eav4/Easv4 Series","Standard_E64-32as_v4","E64-32as_v4_Low_Priority","E64-32as_v4","Windows","Low Priority","Low Priority","64","512","32","1023","864","2.79","2064.60"
"LS Series","Standard_L16s_v2","L16s","L16s","Linux","Standard","Standard","16","128","32","1023","3576","1.373","1016.020"
"LS Series","Standard_L16s","L16s","L16s","Linux","Standard","Standard","16","128","64","1023","2807","1.373","1016.020"
"A Series","Standard_A3","A3","A3","Windows","Standard","Standard","4","7","8","1023","285","0.36","266.40"
"Av2 Series","Standard_A8_v2","A8_v2","A8 v2","Windows","Standard","Standard","8","16","16","1023","80","0.6","444.0"
"Esv4 Series","Standard_E8-2s_v4","E8-2s_v4","E8-2s v4","Windows","Standard","Standard","8","64","16","1023","0","0.872","645.280"
"Edv4 Series","Standard_E32d_v4","E32d_v4","E32d v4","Linux","Standard","Standard","32","256","32","1023","1200","2.304","1704.960"
"NVSv3 Series","Standard_NV12s_v3","NV12s_v3","NV12s v3","Linux","Standard","Standard","12","112","12","1023","336","1.14","843.60"
"NVasv4 Series","Standard_NV8as_v4","NV8as_v4_Low_Priority","NV8as v4","Windows","Low Priority","Low Priority","8","28","16","1023","176","0.334","247.160"
"NVasv4 Series","Standard_NV8as_v4","NV8as_v4","NV8as v4","Windows","Standard","Standard","8","28","16","1023","176","0.834","617.160"
"Ev4 Series","Standard_E16_v4","E16_v4_Low_Priority","E16 v4","Linux","Low Priority","Low Priority","16","128","32","1023","0","0.202","149.480"
"Edsv4 Series","Standard_E48ds_v4","E48ds_v4","E48ds v4","Linux","Standard","Standard","48","384","32","1023","1800","3.456","2557.440"
"NCasv3 T4 Series","Standard_NC16as_T4_v3","NC16as_T4_v3_Low_Priority","NC16as T4 v3","Linux","Low Priority","Low Priority","16","112","32","1023","352","0.241","178.340"
"FSv2 Series","Standard_F64s_v2","F64s_v2_Low_Priority","F64s v2","Linux","Low Priority","Low Priority","64","128","32","1023","512","0.541","400.340"
"Edsv4 Series","Standard_E48ds_v4","E48ds_v4","E48ds v4","Windows","Standard","Standard","48","384","32","1023","1800","5.664","4191.360"
"NC Series","Standard_NC24rs_v3","NC24","NC24","Windows","Standard","Standard","24","448","32","1023","1344","4.336","3208.640"
"NC Series","Standard_NC24s_v3","NC24","NC24","Windows","Standard","Standard","24","448","32","1023","1344","4.336","3208.640"
"NC Series","Standard_NC24","NC24","NC24","Windows","Standard","Standard","24","224","64","1023","1440","4.336","3208.640"
"NC Series","Standard_NC24r","NC24","NC24","Windows","Standard","Standard","24","224","64","1023","1440","4.336","3208.640"
"NC Series","Standard_NC24_Promo","NC24","NC24","Windows","Standard","Standard","24","224","64","1023","1440","4.336","3208.640"
"NC Series","Standard_NC24r_Promo","NC24","NC24","Windows","Standard","Standard","24","224","64","1023","1440","4.336","3208.640"
"Esv4 Series","Standard_E16s_v4","E16s_v4_Low_Priority","E16s v4","Linux","Low Priority","Low Priority","16","128","32","1023","0","0.202","149.480"
"Dv4 Series","Standard_D8_v4","D8_v4_Low_Priority","D8 v4","Windows","Low Priority","Low Priority","8","32","16","1023","0","0.301","222.740"
"Dv4 Series","Standard_D2_v4","D2_v4_Low_Priority","D2 v4","Linux","Low Priority","Low Priority","2","8","4","1023","0","0.0192","14.2080"
"Ev4 Series","Standard_E2_v4","E2_v4","E2 v4","Windows","Standard","Standard","2","16","4","1023","0","0.218","161.320"
"NCasv3 T4 Series","Standard_NC16as_T4_v3","NC16as_T4_v3_Low_Priority","NC16as T4 v3","Windows","Low Priority","Low Priority","16","112","32","1023","352","0.776","574.240"
"MS Series","Standard_M64ls","M64ls_Low_Priority","M64ls","Windows","Low Priority","Low Priority","64","512","64","1023","2000","2.2606","1672.8440"
"Av2 Series","Standard_A1_v2","A1_v2_Low_Priority","A1 v2","Linux","Low Priority","Low Priority","1","2","2","1023","10","0.009","6.660"
"NV Promo Series","Standard_NV6","NV6","NV6","Windows","Standard","Standard","6","56","24","1023","380","0.997","737.780"
"NV Promo Series","Standard_NV6_Promo","NV6","NV6","Windows","Standard","Standard","6","56","24","1023","380","0.997","737.780"
"NV Promo Series","Standard_NV6s_v2","NV6","NV6","Windows","Standard","Standard","6","112","12","1023","336","0.997","737.780"
"NC Promo Series","Standard_NC24rs_v3","NC24r","NC24r","Linux","Standard","Standard","24","448","32","1023","1344","1.742","1289.080"
"NC Promo Series","Standard_NC24r","NC24r","NC24r","Linux","Standard","Standard","24","224","64","1023","1440","1.742","1289.080"
"NC Promo Series","Standard_NC24r_Promo","NC24r","NC24r","Linux","Standard","Standard","24","224","64","1023","1440","1.742","1289.080"
"Ddsv4 Series","Standard_D4ds_v4","D4ds_v4","D4ds v4","Windows","Standard","Standard","4","16","8","1023","150","0.41","303.40"
"Dv4 Series","Standard_D8_v4","D8_v4_Low_Priority","D8 v4","Linux","Low Priority","Low Priority","8","32","16","1023","0","0.0768","56.8320"
"NVasv4 Series","Standard_NV16as_v4","NV16as_v4","NV16as v4","Linux","Standard","Standard","16","56","32","1023","352","0.932","689.680"
"A Series","Basic_A2","A2","A2","Linux","Basic","Basic","2","3.5","4","1023","60","0.068","50.320"
"NC Series","Standard_NC24rs_v3","NC24r_Low_Priority","NC24r","Linux","Low Priority","Low Priority","24","448","32","1023","1344","0.792","586.080"
"NC Series","Standard_NC24r","NC24r_Low_Priority","NC24r","Linux","Low Priority","Low Priority","24","224","64","1023","1440","0.792","586.080"
"NC Series","Standard_NC24r_Promo","NC24r_Low_Priority","NC24r","Linux","Low Priority","Low Priority","24","224","64","1023","1440","0.792","586.080"
"MS Series","Standard_M8ms","M8ms","M8ms","Windows","Standard","Standard","8","218.75","8","1023","250","2.1069","1559.1060"
"Dv4 Series","Standard_D48_v4","D48_v4_Low_Priority","D48 v4","Linux","Low Priority","Low Priority","48","192","32","1023","0","0.461","341.140"
