"Series","Name","Rate Card Name","Rate Card Filtered Name","Operating System","Rate Card Priority","Tier","Cores","Memory","Disk Count","OS Disk Size GB","Cache Disk Size GB","Cost Per Hour","Cost Per Month"
"A Series","Standard_A5","A5_Low_Priority","A5","Windows","Low Priority","Low Priority","2","14","4","1023","135","0.12","88.80"
"Ev4 Series","Standard_E2_v4","E2_v4_Low_Priority","E2 v4","Linux","Low Priority","Low Priority","2","16","4","1023","0","0.0252","18.6480"
"NV Series","Standard_NV24","NV24_Low_Priority","NV24","Linux","Low Priority","Low Priority","24","224","64","1023","1440","0.9614","711.4360"
"NV Series","Standard_NV24_Promo","NV24_Low_Priority","NV24","Linux","Low Priority","Low Priority","24","224","64","1023","1440","0.9614","711.4360"
"NV Series","Standard_NV24s_v2","NV24_Low_Priority","NV24","Linux","Low Priority","Low Priority","24","448","32","1023","1344","0.9614","711.4360"
"NV Series","Standard_NV24s_v3","NV24_Low_Priority","NV24","Linux","Low Priority","Low Priority","24","224","24","1023","672","0.9614","711.4360"
"BS Series","Standard_B4ms","B4ms","B4ms","Windows","Standard","Standard","4","16","8","1023","32","0.182","134.680"
"NCSv3 Series","Standard_NC12s_v3","NC12s_v3_Low_Priority","NC12s v3","Linux","Low Priority","Low Priority","12","224","24","1023","672","1.224","905.760"
"FSv2 Series","Standard_F4s_v2","F4s_v2","F4s v2","Windows","Standard","Standard","4","8","8","1023","32","0.326","241.240"
"MS Series","Standard_M64s","M64s","M64s","Linux","Standard","Standard","64","1000","64","1023","2000","6.669","4935.060"
"A Series","Standard_A6","A6_Low_Priority","A6","Linux","Low Priority","Low Priority","4","28","8","1023","285","0.088","65.120"
"Dv4 Series","Standard_D8_v4","D8_v4","D8 v4","Linux","Standard","Standard","8","32","16","1023","0","0.384","284.160"
"Ddv4 Series","Standard_D48d_v4","D48d_v4_Low_Priority","D48d v4","Windows","Low Priority","Low Priority","48","192","32","1023","1800","1.968","1456.320"
"Edsv4 Series","Standard_E16-4ds_v4","E16-4ds_v4","E16-4ds v4","Linux","Standard","Standard","16","128","32","1023","600","1.152","852.480"
"Edsv4 Series","Standard_E64ds_v4","E64ds_v4","E64ds v4","Windows","Standard","Standard","64","504","32","1023","2400","7.552","5588.480"
"Edv4 Series","Standard_E4d_v4","E4d_v4_Low_Priority","E4d v4","Linux","Low Priority","Low Priority","4","32","8","1023","150","0.0576","42.6240"
"Eav4/Easv4 Series","Standard_E8-2as_v4","E8-2as_v4","E8-2as_v4","Windows","Standard","Standard","8","64","16","1023","128","0.872","645.280"
"Ddsv4 Series","Standard_D2ds_v4","D2ds_v4_Low_Priority","D2ds v4","Windows","Low Priority","Low Priority","2","8","4","1023","75","0.082","60.680"
"Eav4/Easv4 Series","Standard_E64-16as_v4","E64-16as_v4_Low_Priority","E64-16as_v4","Linux","Low Priority","Low Priority","64","512","32","1023","864","0.806","596.440"
"MS Series","Standard_M32ls","M32ls_Low_Priority","M32ls","Windows","Low Priority","Low Priority","32","256","32","1023","1000","1.1634","860.9160"
"NCasv3 T4 Series","Standard_NC4as_T4_v3","NC4as_T4_v3","NC4as T4 v3","Windows","Standard","Standard","4","28","8","1023","176","0.71","525.40"
